Station Id,Station Name,Centre (Location),Business Domain,Total Project,Tags,Description,Project Domain,Title
4521,Airports Authority of India (AAI),Delhi,Electronics,1,"AnyA3,AnyA8,AnyA4,AnyA7,AnyAA,AnyAB",Details awaited ,Yet to be finalized,Details awaited 
8670,Airports Authority of India (AAI)- Guwahati,Guwahati,Electronics,1,"AnyA7,A7",-,Yet to be finalized,-
8670,Airports Authority of India (AAI)- Guwahati,Guwahati,Electronics,1,"AnyA2,A2",-,Yet to be finalized,-
8670,Airports Authority of India (AAI)- Guwahati,Guwahati,Electronics,1,"AnyAA,AnyA3,AnyA8,AA,A3,A8",-,Yet to be finalized,-
8670,Airports Authority of India (AAI)- Guwahati,Guwahati,Electronics,1,"AnyA8,AnyA3,AnyAA,A8,A3,AA",-,Yet to be finalized,-
8670,Airports Authority of India (AAI)- Guwahati,Guwahati,Electronics,1,"AnyA3,AnyA8,AnyAA,A3,A8,AA",-,Yet to be finalized,-
8672,Airports Authority of India (AAI)- Kanpur,Kanpur,Electronics,1,"AnyA3,AnyA8,AnyAA,A3,A8,AA",-,Yet to be finalized,-
8672,Airports Authority of India (AAI)- Kanpur,Kanpur,Electronics,1,"AnyA2,A2",-,Yet to be finalized,-
8672,Airports Authority of India (AAI)- Kanpur,Kanpur,Electronics,1,Any,-,Yet to be finalized,-
8639,Aivid Techvision,Ahmedabad,Finance and Mgmt,2,"Any,Any","Machine Vision / Computer Analytics InternAIVID TechVision Pvt. Ltd. Ahmedabad, Gujarat, India (On-site) Website: https://aivid.ai/About the CompanyAIVID TechVision builds AI-driven video analytics and machine vision systems deployed across manufacturing facilities, highways, retail chains, and public spaces. Our platforms enable security, safety, smart surveillance, compliance monitoring, process optimization, and identification of operational lapses in real-world environments.Role OverviewAs a Machine Vision / Computer Analytics Intern, you will work on end-to-end vision pipelines covering model development, pre-processing, post-processing, and compute optimization. This is a fully on-site role focused on production-grade AI systems.Key ResponsibilitiesComputer vision and video analytics algorithm developmentPre-processing pipelines (filtering, normalization, ROI extraction)Post-processing logic (tracking, temporal rules, event generation)Complex algorithm implementation beyond base model inferenceCompute, latency, and memory optimizationModel evaluation under real-world constraintsEligibility &amp; RequirementsEngineering / CS / AI / Electronics / Data Science backgroundWillingness to work on-site in AhmedabadStrong fundamentals in Python and computer vision conceptsPreferred SkillsOpenCV, PyTorch / TensorFlowCNNs, object detection, tracking (YOLO or similar)Understanding of performance optimizationGrowth &amp; ConversionThis internship is structured as a long-term engagement. High-performing interns will be considered for full-time roles as part of AIVID’s growth journey.,-","Python,Platform development","CV/python Team,Platform Team"
8809,AKRITI PHARMACEUTICALS P Ltd,Mumbai,Finance and Mgmt,1,"AnyAA,AnyA3,AnyA8,AA,A8,A3",This initiative focuses on the life cycle and performances of electricial machinery.,Electronics,Optimizing performance and reliability in electrical machines
8809,AKRITI PHARMACEUTICALS P Ltd,Mumbai,Finance and Mgmt,1,Any,Financial knowledge ,Finance, strategic financial ratio analysis for operational excellence
4286,Albatross Energetics,Mumbai,Mechanical,2,"AnyA1,AnyA4,AnyAB,A1,A4,AB,AnyA1,AnyA4,AnyAB,A1,A4,AB","  Title: Experimental Investigation and Mitigation of Liquid Flow Maldistribution over Vertical Falling Film SurfacesDescription:	In liquid desiccant-based air conditioning systems, uniform liquid distribution over heat and mass transfer surfaces is critical for optimal performance. In the current system, although the liquid is uniformly distributed at the inlet section of a vertical plate, it rapidly converges into streams along the flow path. This maldistribution significantly reduces effective surface wetting, leading to deterioration in heat and mass transfer performance.The objective of this project is to experimentally investigate the flow maldistribution using optical diagnostic techniques and develop strategies to mitigate it. The student will be responsible for commissioning and instrumenting a dedicated test rig, performing controlled experiments across a range of liquid flow rates, and quantitatively characterising the degree of maldistribution. Based on experimental insights, the student will propose, implement, and validate design or operational modifications to improve uniformity and overall system performance.The work will involve systematic experimentation, data acquisition, image processing, analysis, and iterative validation of control techniques.Skill sets:1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Experimental techniques in thermal and fluid engineering2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Fundamentals of heat and mass transfer3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Fluid mechanics and falling film hydrodynamics4.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;CAD for rig modifications and distributor redesign5.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Programming (Python) for data analysis and image processing6.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Data acquisition and instrumentation handling7.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Basic optical diagnostics and visualisation techniques8.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Analytical thinking and experimental design methodologyExpected learning:1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Practical understanding of liquid film hydrodynamics and surface wetting behaviour2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Hands-on experience in commissioning and operating experimental test rigs3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Exposure to optical flow visualisation and quantitative image-based analysis4.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Ability to correlate flow distribution with heat and mass transfer performance5.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Experience in iterative engineering design and experimental validation6.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Understanding of how laboratory-scale insights translate into real-world HVAC system performance improvementsSpecific courses required for project execution:1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Fluid Mechanics2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Heat Transfer3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Mass Transfer4.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Engineering Mathematics5.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Basic Programming (preferably Python)6.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Experimental Methods in Mechanical/Chemical Engineering (preferred)  ,Title: Experimental Investigation of Adiabatic Regeneration Performance in Liquid Desiccant Systems under Cross-Flow and Counter-Flow Configurations.Description:	Liquid desiccant systems require continuous regeneration to maintain their moisture absorption capacity and ensure sustained operation in humidity control applications. In adiabatic regeneration mode, the liquid desiccant is directly heated using an external heat source and brought into contact with air to facilitate moisture desorption.The regenerator can be configured in different flow arrangements, primarily cross-flow or counter-flow circuits. Each configuration influences heat and mass transfer characteristics, regeneration effectiveness, thermal efficiency, and overall system performance.	The objective of this project is to evaluate the regeneration performance under different flow configurations experimentally. The student will be involved in commissioning and operating a regeneration test rig, instrumenting the system for temperature, humidity, and flow measurements, and conducting experiments across varying operating conditions (liquid flow rate, air flow rate, inlet temperatures, etc.). The study will compare regeneration efficiency, moisture removal rate, and thermal performance across cross-flow and counter-flow configurations, followed by data-driven analysis and performance benchmarking.Skill sets:1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Experimental techniques in thermal and fluid engineering2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Heat and Mass Transfer Fundamentals3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Thermodynamics of air—water vapour mixtures4.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Psychrometry and humidity measurement techniques5.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Instrumentation and data acquisition systems6.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Programming (Python) for data analysis7.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Basic CFD understanding (preferred but not mandatory)8.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Analytical modelling and performance evaluation9.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Engineering data interpretation and reportingExpected learning:1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Practical understanding of liquid desiccant regeneration principles2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Hands-on experience in operating and analysing adiabatic regeneration systems3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Comparative evaluation of cross-flow vs counter-flow heat and mass exchangers4.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Exposure to psychrometric analysis and performance parameter estimation5.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Development of experimental planning, uncertainty analysis, and validation skills6.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Insight into system-level optimisation of energy-efficient HVAC technologiesSpecific courses required for project execution:1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Thermodynamics2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Fluid Mechanics3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Heat Transfer4.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Mass Transfer5.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Basic HVAC or Refrigeration &amp; Air Conditioning (preferred)6.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Engineering Mathematics7.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Basic Programming (preferably Python)Experimental Methods in Mechanical/Chemical Engineering (preferred)",Thermal & Fluid Engineering,"Experimental Investigation and Mitigation of Liquid Flow Maldistribution over Vertical Falling Film Surfaces,Experimental Investigation of Adiabatic Regeneration Performance in Liquid Desiccant Systems under Cross-Flow and Counter-Flow Configurations."
4286,Albatross Energetics,Mumbai,Mechanical,1,"A1,AnyA1","Title: Experimental Investigation of Pollutant Gas Solubility in Liquid Desiccants and Development of Mitigation Strategies for Performance StabilityDescription:	Liquid desiccant systems operate in direct contact with atmospheric air, making them susceptible to the absorption of ambient gaseous pollutants. Over prolonged operation, dissolution of such pollutants into the desiccant solution may alter its physicochemical properties and degrade system performance.	The solubility of gaseous pollutants in liquid desiccants depends on various parameters, including temperature, gas composition, partial pressure, and the chemical nature of the desiccant solution. This project aims to experimentally evaluate the solubility behaviour of selected ambient pollutant gases in water (as a baseline case) and in different liquid desiccant solutions under controlled variations of temperature and pressure.	Based on the experimental findings, the student will investigate and evaluate potential mitigation strategies to remove or desorb dissolved gaseous pollutants from the desiccant. Techniques to be explored may include physical filtration, adsorption-based filters (e.g., KMn04 media, activated carbon/charcoal, activated alumina), ion exchange resins, temperature-driven desorption, air stripping/injection, and other suitable approaches. The student will be expected to design and develop a laboratory-scale test setup to validate the effectiveness of selected pollutant removal techniques and assess their feasibility for long-term system integration.This project combines experimental chemistry, thermodynamics, mass transfer, and system-level engineering evaluation.Skill sets:1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Experimental techniques in thermal and chemical engineering2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Fundamentals of mass transfer and phase equilibrium3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Basic chemical thermodynamics and gas solubility principles4.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Analytical measurement techniques (gas concentration, solution properties)5.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Design and fabrication of experimental test setups6.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Instrumentation and data acquisition7.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Programming (Python) for data analysis8.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Literature review and comparative technology assessment9.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Critical thinking and engineering evaluation skillsExpected learning:1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Understanding of gas—liquid equilibrium and solubility behaviour in complex solutions2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Practical exposure to experimental design for multivariable systems (temperature, pressure, gas type)3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Insight into long-term operational challenges in liquid desiccant HVAC systems4.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Hands-on experience with adsorption and filtration technologies5.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Ability to compare and evaluate pollutant removal strategies based on technical and practical feasibility6.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Development of system-level thinking for performance stability and lifecycle reliabilitySpecific courses required for project execution:1 . Thermodynamics2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Mass Transfer3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Heat Transfer (basic understanding)4.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Fluid Mechanics5.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Physical Chemistry (preferred)2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Environmental Engineering or Air Pollution Control (preferred)3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Engineering Mathematics4.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Basic Programming (preferably Python)Experimental Methods in Mechanical/Chemical Engineering (preferred)",Chemical,Experimental Investigation of Pollutant Gas Solubility in Liquid Desiccants and Development of Mitigation Strategies for Performance Stability
4286,Albatross Energetics,Mumbai,Mechanical,1,"AnyA3,AnyA8,AnyAA,AnyAC,A3,A8,AA,AC","Title: Development and Experimental Validation of Control Logic for Desiccant Exchange and Airflow Modulation under Seasonal Ambient VariationsDescription:Seasonal variations in ambient temperature and humidity result in fluctuating sensible and latent loads on the desiccant systems. To maintain high seasonal efficiency while ensuring desired performance levels, system operation must be dynamically optimised.This project focuses on developing a control system logic that modulates key operational parameters such as cold water flow rate, hot water flow rate, desiccant solution exchange rate, fan RPM, and pump RPM in response to varying ambient conditions. The objective is to optimise seasonal efficiency while maintaining acceptable indoor air conditions and system performance.	The student will develop simulation-based test cases to evaluate different seasonal scenarios and operating strategies. Based on these simulations, a control algorithm will be formulated and implemented. A benchtop-scale experimental rig will then be designed and commissioned to validate the developed control logic under controlled conditions.The project integrates system modelling, control engineering, experimental validation, and performance optimisation.Skill sets:1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Fundamentals of control systems and feedback control logic2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Thermodynamics and HVAC system analysis3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Heat and Mass Transfer4.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;System modelling and simulation5.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Programming (Python / MATLAB or equivalent)6.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Basic embedded systems or controller interfacing (preferred)7.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Instrumentation and data acquisition8.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Optimisation techniques9.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Analytical and systems-level thinkingExpected learning:1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Understanding of seasonal performance optimisation in HVAC systems2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Hands-on experience in developing and implementing control strategies3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Exposure to multi-variable system optimisation with performance trade-offs4.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Ability to translate simulation-based insights into experimental validation5.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Practical knowledge of benchtop system integration and controller tuning6.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Insight into energy-efficient system operation and seasonal performance metricsSpecific courses required for project execution:1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Control Systems2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Thermodynamics3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Heat Transfer4.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Mass Transfer5.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Fluid Mechanics6.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;HVAC / Refrigeration &amp; Air Conditioning (preferred)7.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Engineering Mathematics8.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Numerical Methods or Simulation Techniques (preferred)Basic Programming (Python / MATLAB preferred)",Control Systems,Development and Experimental Validation of Control Logic for Desiccant Exchange and Airflow Modulation under Seasonal Ambient Variations
4286,Albatross Energetics,Mumbai,Mechanical,1,"AnyA7,AnyAC,AnyAD,A7,AC,AD","Title: Al-Enabled Field Service Assistant for Maintenance, Commissioning, and Installation SupportDescription:This project focuses on developing an Al-powered service support application designed to streamline field maintenance, commissioning, and installation activities for liquid desiccant-based air conditioning systems.	The proposed system will function as an intelligent field service assistant, integrating structured checklists with an intuitive UI/UX to guide technicians step-by-step through standard operating procedures. The platform will include features such as dynamic troubleshooting support, automated workflow guidance, digital documentation, and contextual recommendations based on system inputs.The objective is to improve service consistency, reduce human error, enhance technician productivity, and ensure standardised maintenance practices. The student will be involved in requirement analysis, workflow mapping, UI/UX conceptualisation, backend logic design, and integration of Al-based conversational or decision-support capabilities. A prototype application will be developed and tested through simulated or pilot field scenarios.Skill sets:1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Basic understanding of Al/ML concepts (especially NLP for chatbot development)2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Programming (Python / JavaScript preferred)3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;UI/UX design principles4.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Backend logic and workflow automation5.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Database design and data structuring6.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Systems thinking and process mapping7.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Basic knowledge of HVAC or mechanical systems (preferred)8.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Problem-solving and product design mindsetExpected learning:1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Exposure to Al-driven service automation systems2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Experience in translating engineering SOPs into structured digital workflows3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Understanding of conversational Al and decision-tree logic4.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Hands-on experience in prototype app development5.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Insight into field service challenges and operational optimisation6.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Development of product-thinking and user-centred design capabilitiesSpecific courses required for project execution:1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Data Structures and Algorithms2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Introduction to Artificial Intelligence or Machine Learning3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Database Management Systems4.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Software Engineering5.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Human-Computer Interaction (preferred)6.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Basic Programming (Python / JavaScript)Operations Management (preferred)",Artificial Intelligence,"Al-Enabled Field Service Assistant for Maintenance, Commissioning, and Installation Support"
8857,Alchemy Capital Management,Mumbai,Finance and Mgmt,1,"AnyB3,B3","Description: Working on analyzing quitiesSkill sets: Financial statment analysis, investment analysis and financial modellingExpected Learning: Improving Skills in Investemnt analysis",Finance,Equity Research
